"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.000255150838295232,501,422,30,0.0710900473933649,0.0598802395209581,"GO:0002009","GO:BP","morphogenesis of an epithelium",20972,596,"GO:0048729;GO:0060429"
"query_1",TRUE,0.000274524389613836,993,422,46,0.109004739336493,0.0463242698892246,"GO:1901652","GO:BP","response to peptide",20972,20209,"GO:0042221"
"query_1",TRUE,0.000276513003290355,342,422,24,0.0568720379146919,0.0701754385964912,"GO:0010959","GO:BP","regulation of metal ion transport",20972,4322,"GO:0030001;GO:0043269"
"query_1",TRUE,0.00028141767499105,368,422,25,0.0592417061611374,0.0679347826086956,"GO:0007178","GO:BP","cell surface receptor protein serine/threonine kinase signaling pathway",20972,2605,"GO:0007167"
"query_1",TRUE,0.000295031487089421,2290,422,82,0.194312796208531,0.0358078602620087,"GO:0003008","GO:BP","system process",20972,1410,"GO:0032501"
"query_1",TRUE,0.000301278033241175,591,422,33,0.0781990521327014,0.0558375634517767,"GO:0007507","GO:BP","heart development",20972,2857,"GO:0048513;GO:0072359"
"query_1",TRUE,0.000311978594373402,2842,422,96,0.227488151658768,0.0337790288529205,"GO:0048468","GO:BP","cell development",20972,11920,"GO:0030154;GO:0048856;GO:0048869"
"query_1",TRUE,0.000315055353636818,965,422,45,0.106635071090047,0.0466321243523316,"GO:0098609","GO:BP","cell-cell adhesion",20972,17570,"GO:0007155"
"query_1",TRUE,0.000323085114259503,1234,422,53,0.125592417061611,0.0429497568881686,"GO:0060429","GO:BP","epithelium development",20972,13632,"GO:0009888"
"query_1",TRUE,0.000325013658811609,345,422,24,0.0568720379146919,0.0695652173913043,"GO:0002237","GO:BP","response to molecule of bacterial origin",20972,748,"GO:0009617;GO:0043207"
"query_1",TRUE,0.000325013658811609,345,422,24,0.0568720379146919,0.0695652173913043,"GO:0141091","GO:BP","transforming growth factor beta receptor superfamily signaling pathway",20972,18772,"GO:0007178"
"query_1",TRUE,0.000328809914305982,271,422,21,0.0497630331753555,0.0774907749077491,"GO:0006959","GO:BP","humoral immune response",20972,2459,"GO:0006955"
"query_1",TRUE,0.000342663819613234,839,422,41,0.0971563981042654,0.0488676996424315,"GO:0048871","GO:BP","multicellular organismal-level homeostasis",20972,12261,"GO:0032501;GO:0042592"
"query_1",TRUE,0.000405923850975758,941,422,44,0.104265402843602,0.0467587672688629,"GO:1901698","GO:BP","response to nitrogen compound",20972,20235,"GO:0042221"
"query_1",TRUE,0.000468461715509996,144,422,15,0.0355450236966825,0.104166666666667,"GO:1903169","GO:BP","regulation of calcium ion transmembrane transport",20972,21218,"GO:0051924;GO:0070588;GO:1904062"
"query_1",TRUE,0.000482816397543771,125,422,14,0.033175355450237,0.112,"GO:0051209","GO:BP","release of sequestered calcium ion into cytosol",20972,12672,"GO:0097553"
"query_1",TRUE,0.000586417697481943,233,422,19,0.0450236966824645,0.0815450643776824,"GO:0007160","GO:BP","cell-matrix adhesion",20972,2590,"GO:0031589"
"query_1",TRUE,0.000602838884516311,331,422,23,0.0545023696682464,0.0694864048338369,"GO:0072001","GO:BP","renal system development",20972,15888,"GO:0048731"
"query_1",TRUE,0.000604801732283323,410,422,26,0.0616113744075829,0.0634146341463415,"GO:0034762","GO:BP","regulation of transmembrane transport",20972,8155,"GO:0050794;GO:0051049;GO:0055085"
"query_1",TRUE,0.000765858851856698,801,422,39,0.0924170616113744,0.048689138576779,"GO:0006508","GO:BP","proteolysis",20972,2123,"GO:0019538"
"query_1",TRUE,0.000854701665035313,287,422,21,0.0497630331753555,0.0731707317073171,"GO:0007162","GO:BP","negative regulation of cell adhesion",20972,2592,"GO:0007155;GO:0030155;GO:0048523"
