"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000196549.14",3371.11041168014,-3.14836477195795,0.481844028763738,2.79153794942753e-12,7.01699589221099e-09
"ENSG00000197415.13",2282.18062010297,-1.28036958957347,0.553517855104605,0.000725477345918771,0.0345945104199295
"ENSG00000118849.11",1028.55389633019,1.35009174790642,0.567619180681572,0.000620882823324022,0.0310757347611933
"ENSG00000114200.11",543.541051916704,-1.19774650081553,0.529093079242721,0.000856118425358879,0.0392859373973507
"ENSG00000163898.11",771.767723548128,-1.25008777725035,0.468049667872255,0.000306124638069654,0.0191840933159274
"ENSG00000114279.15",112.803896719894,-1.44086294843436,0.660337978009832,0.000923303567623237,0.0410822249251551
"ENSG00000145113.22",681.388816973865,1.50431000787061,0.476893506143167,6.78993489228159e-05,0.00653725482131922
"ENSG00000181215.17",56.319363568793,2.18461328066591,0.808552242754737,0.000201500973094699,0.0143803044615816
"ENSG00000004468.14",869.887403347021,2.30848880075182,0.547576398788795,1.0801705369786e-06,0.000305458725725836
"ENSG00000109819.11",601.636546325268,-1.47825549555009,0.437662013331074,3.13854237489101e-05,0.00377676830569996
"ENSG00000153012.13",168.635284161411,2.08379468867229,0.55704815708854,7.75613363535171e-06,0.00128078110388731
"ENSG00000298871.1",119.95676927018,2.54260898488188,0.775718819318061,3.46926883725948e-05,0.00398730691678934
"ENSG00000168421.15",693.598070953522,1.15357648679499,0.430621038078457,0.000325198034238727,0.0200461992604434
"ENSG00000064042.19",18406.0456537363,-1.41998142293818,0.377506283404168,7.66345843993763e-06,0.00127478250210815
"ENSG00000171476.24",5111.01083818012,-1.47434696606215,0.469279425134669,6.79067711183316e-05,0.00653725482131922
"ENSG00000310269.1",73.9878935515566,-2.11825067096932,0.716076798228062,0.000111407454434483,0.00929672072880238
"ENSG00000280285.1",364.555210322107,-2.14813919085259,0.490479589612489,5.00115924086518e-07,0.000182485847590473
"ENSG00000181617.6",67.1245422574776,2.67437205941963,0.825573615480208,4.14266861388699e-05,0.00454949475980415
"ENSG00000138755.6",6446.16007587532,3.65551229762922,0.779112871878776,1.09912314062264e-07,5.78266576983857e-05
"ENSG00000169245.6",1193.59407276151,2.65126732058504,0.66148530285811,2.4359797647615e-06,0.000556658285032317
"ENSG00000169248.13",231.686520602018,2.62490361099815,0.687170374249042,5.2024537848435e-06,0.000941560895796116
"ENSG00000138759.21",3752.21786262086,-1.03061823764698,0.414024084995214,0.000570549905178709,0.0292688220064806
"ENSG00000138772.14",2875.68107441827,-1.72534448135434,0.421632908741757,1.87085777585577e-06,0.000465103466628408
"ENSG00000118785.16",1088.41127484888,5.88271812736866,0.480962095347292,9.54190373447262e-36,2.15866488184974e-31
"ENSG00000138821.15",12645.4516010908,-1.35046272670834,0.469675145736726,0.000175362165947883,0.0130931296377523
